29
Timestamp,ID,Working Hours(08:00AM-01:00PM : 02:00PM-06:00PM),purpose,Visitor Allowed,Contact Number,Email Address,Website Link
01 Aravalli(Block-2),All Time,Student Resident,FALSE,7005107535,azhoni@nitk.edu.in,https://hostels.nitk.edu.in/
02 ADKE circle(Amul),08:00AM- 07:00PM,Food,TRUE,null,null,null
03 SAC/Basket Ball Court,All Time,sports,TRUE,null,null,null
04 Nandini/ Cooperative Society,09:00AM-09:00PM,snacks/grocery,TRUE,null,null,null
05 Residential Area Entrance,All Time,travel,TRUE,null,null,null
06 NITK School,07:00AM - 02:00PM,education,FALSE,08242474850,nitkschool45296@gmail.com,ems.nitk.ac.in
07 Underpass Tunnel,All Time,travel,TRUE,null,null,null
08 West Campus Main Gate,All TIme,Travel,TRUE,8242473027,rnath@nitk.ac.in,null
09 Civil Department,09:00AM - 05:00PM,education,FALSE,08242474051,subhashyaragal@nitk.edu.in,https://civil.nitk.ac.in/
10 Mining Department,09:00AM - 05:00PM,education,FALSE,08242473051,mininghod@nitk.ac.in,https://mining.nitk.ac.in/
11 Main Building,09:00AM-05:00PM,Administrative,TRUE,8242474000,registrar@nitk.ac.in,nit.ac.in
12 Pavilion,All Time,Entertainment,TRUE,null,null,null
13 E-Library,08:00AM-11:00PM,education,FALSE,8242473063,library@nitk.edu.in,https://library.nitk.ac.in/
14 LHC-A,09:00AM-04:00PM,education,FALSE,null,null,null
15 Food Court/Science Block/CIDS/CISF,07:00-10:00PM,food,TRUE,9880409579,null,null
16 SBI/ATM//Cooperative Society,All Time,cash/money,TRUE,8026599990,null,www.sbi.co.in
17 SJA(Silver Jubilee Auditorium),Occasionally,Event/Entertainment,FALSE,null,null,null
18 Vindhya (Block-3),06:00AM-11:00PM,student resident,FALSE,9557523757,mandip.singh@nitk.edu.in,https://hostels.nitk.edu.in/
19 Power House for Mega Towers,NOT ALLOWED,food,FALSE,null,null,null
20 Upcoming Hostels Juniors Hostels,null,student resident,FALSE,null,null,null
21 Gate-2 near Post Office,06:00AM-10:00PM,travel,TRUE,null,null,null
22 Old Books Library,09:00AM-05:00PM,education,FALSE,08242473063,library@nitk.edu.in,https://library.nitk.ac.in/
23 LHC-C,08:00AM-05:00PM,education,FALSE,null,null,null
24 IT and EEE Department,09:00AM-05:00PM,education,FALSE,8242474056, hodit@nitk.edu.in,https://infotech.nitk.ac.in/
25 Sapthagiri(Hostel Office),09:00AM-03:00PM,Hostel/Office,TRUE,9964279510,dr.manoj@nitk.edu.in,https://www.nitk.ac.in/hostel_wardens
26 East Campus Main Gate,All TIme,Travel,TRUE,8242473027,rnath@nitk.ac.in,null
27 Gate-2 near LHC-C,06:00AM-06:00PM SUNDAY AND SATURDAY CLOSED,travel,TRUE,null,null,null
28 Chaitanya (Mega Mess),06:00AM-06:00PM SUNDAY AND SATURDAY CLOSED,travel,TRUE,null,null,null
29 Nandini/Mega Towers,06:00AM-06:00PM SUNDAY AND SATURDAY CLOSED,travel,TRUE,null,null,null
